artist,nonmale,non-cis,race,ethnicity,primary status,REPS,gender,corpora,source,comments
Anita Baker,1,0,1,0,1,1,1,MBB,https://en.wikipedia.org/wiki/Anita_Baker,
Ann Peebles,1,0,1,0,1,1,1,MBB,https://en.wikipedia.org/wiki/Ann_Peebles,
Arthur Conley,0,0,1,0,1,1,0,MBB,https://en.wikipedia.org/wiki/Arthur_Conley,Conley was gay and moved to the Netherlands and changed his name so that he could freely live as an openly gay man
Barbara Lewis,1,0,1,0,1,1,1,MBB,https://en.wikipedia.org/wiki/Barbara_Lewis,
Barry White,0,0,1,0,1,1,0,MBB,"https://en.wikipedia.org/wiki/Barry_White, https://crazyonclassicrock.com/2021/02/24/every-black-1-of-the-60s-70s-and-80s/",
Bertha Tillman,1,0,1,0,1,1,1,MBB,https://www.last.fm/music/Bertha+Tillman/+wiki,
Billy Preston,0,0,1,0,1,1,0,MBB,https://en.wikipedia.org/wiki/Billy_Preston,gay and closeted until right before his death
Biz Markie,0,0,1,0,1,1,0,MBB,https://en.wikipedia.org/wiki/Biz_Markie,
Bobby Womack,0,0,1,0,1,1,0,MBB,https://en.wikipedia.org/wiki/Bobby_Womack,
Bonnie Pointer,1,0,1,0,1,1,1,MBB,https://en.wikipedia.org/wiki/Bonnie_Pointer,
Boyz II Men,0,0,1,0,1,1,0,MBB,https://en.wikipedia.org/wiki/Boyz_II_Men,
Brother Jack McDuff,0,0,1,0,1,1,0,MBB,https://en.wikipedia.org/wiki/Jack_McDuff,
Carl Carlton,0,0,1,0,1,1,0,MBB,https://en.wikipedia.org/wiki/Carl_Carlton,
Chico DeBarge,0,0,1,0,1,1,0,MBB,https://en.wikipedia.org/wiki/Chico_DeBarge,mixed race
Chris Kenner,0,0,1,0,1,1,0,MBB,https://en.wikipedia.org/wiki/Chris_Kenner,
Chubby Checker,0,0,1,0,1,1,0,MBB,https://www.nndb.com/people/227/000061044/,
Clarence Carter,0,0,1,0,1,1,0,MBB,https://en.wikipedia.org/wiki/Clarence_Carter,disability: blind
Color Me Badd,0,0,1,1,1,1,0,MBB,https://en.wikipedia.org/wiki/Color_Me_Badd,
Cornelius Brothers & Sister Rose,1,0,1,0,1,1,1,MBB,https://en.wikipedia.org/wiki/Cornelius_Brothers_%26_Sister_Rose,
Count Basie,0,0,1,0,1,1,0,MBB,https://www.nndb.com/people/834/000024762/,
David Ruffin_ Jimmy Ruffin,0,0,1,0,1,1,0,MBB,"https://en.wikipedia.org/wiki/Jimmy_Ruffin, https://en.wikipedia.org/wiki/David_Ruffin",
De La Soul,0,0,1,1,1,1,0,MBB,https://en.wikipedia.org/wiki/De_La_Soul,Trugoy is Haitian
Debarge,1,0,1,0,1,1,1,MBB,https://en.wikipedia.org/wiki/DeBarge,
